City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,north battleford,52.7834,-108.2847,58.41,71,40,13.8,CA,1689600192
1,adamstown,-25.066,-130.1015,71.56,64,100,13.27,PN,1689600026
2,saipan,15.1355,145.701,83.1,100,20,9.22,MP,1689600046
3,albany,42.6001,-73.9662,75.38,94,0,1.01,US,1689600045
4,tolanaro,-25.0319,46.9987,75.27,64,20,6.91,MG,1689600395
5,bad segeberg,53.9333,10.3167,65.86,66,92,16.44,DE,1689600396
6,olonkinbyen,70.9221,-8.7187,40.39,98,100,17.83,SJ,1689600114
7,port-aux-francais,-49.35,70.2167,37.49,97,100,36.71,TF,1689600041
8,yellowknife,62.456,-114.3525,63.12,67,100,10.36,CA,1689600136
9,blackmans bay,-43.0167,147.3167,52.52,71,100,8.66,AU,1689600043
10,puerto natales,-51.7236,-72.4875,36.05,69,40,12.66,CL,1689600048
11,edinburgh of the seven seas,-37.0676,-12.3116,55.35,67,11,15.03,SH,1689600038
12,nar'yan-mar,67.6713,53.087,71.01,47,100,12.1,RU,1689600182
13,rawson,-43.3002,-65.1023,34.93,48,0,8.34,AR,1689600400
14,waitangi,-43.9535,-176.5597,47.82,89,75,5.01,NZ,1689600048
15,sittwe,20.15,92.9,82.18,85,70,8.86,MM,1689600401
16,ushuaia,-54.8,-68.3,37.06,70,0,4.61,AR,1689600089
17,codajas,-3.8367,-62.0569,84.96,60,89,1.45,BR,1689600402
18,new norfolk,-42.7826,147.0587,53.71,68,57,7.56,AU,1689600158
19,papatowai,-46.5619,169.4708,50.81,86,100,21.94,NZ,1689600036
20,susuman,62.7833,148.1667,53.24,71,72,2.35,RU,1689600104
21,iranshahr,27.2025,60.6848,113.34,11,40,4.61,IR,1689600404
22,gisborne,-38.6533,178.0042,46.53,82,2,6.33,NZ,1689600405
23,hamilton,39.1834,-84.5333,75.6,87,0,8.05,US,1689599970
24,iqaluit,63.7506,-68.5145,41.7,93,100,11.5,CA,1689600106
25,joaquin v. gonzalez,-25.0833,-64.1833,55.06,62,99,5.44,AR,1689600407
26,jamestown,42.097,-79.2353,74.01,77,20,5.01,US,1689600198
27,bethel,41.3712,-73.414,80.55,84,0,0.0,US,1689600054
28,nolinsk,57.5596,49.9363,76.5,51,43,10.63,RU,1689600410
